Method,Year,Local,Global,Post-hoc,Ante-hoc,Model-specific,Vision-transformer-specific,Model-agnostic,Class-specific,Class-agnostic,Prediction,Concept,Embedding,Patch Interactions,Feature Relevance,Scalar,Examples,Graph,Text,Attention,Activation,Perturbations,Relevance,Gradient,Prototype-based,Concept-based,Weight-Input-Alignment,Masking-based,Connectivity Constraints,Citation Key,eval_models,eval_dataset,eval_baselines,eval_metrics,localization,only localization,perturbation,only qualitative,user study
GMAR,2025,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,joGMARGradientDrivenMultiHead2025,ViT-L,Tiny-ImageNet,"Grad-CAM, Rollout","Average Drop, Average Increase, Deletion & Insertion AUC",0,0,1,0,0
HiT,2025,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,jeanneretDisentanglingVisualTransformers2025,"Proposed model HiT in its variants HiT-B, HiT-S based on DeiT","ImageNet, CUB-200-2011, Stanford Dogs, Stanford Cars, FGVC-Aircraft, Oxford-IIIT Pets","B-cos, A-ViT, ProtoPFormer, DeiT+Grad-CAM, DeiT+Rollout, HiT+Grad-CAM, HiT+Rollout",Deletion & Insertion AUC,0,0,1,0,0
IA-RED2,2021,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,panIARED2InterpretabilityAwareRedundancy2021,"Custom architecture based on DeiT-S, DeiT-B","ImageNet-1k, ImageNet-Segmentation","MemNet, Raw Attention, LIME, Grad-CAM, LRP","Segmentation metrics (pixel accuracy, mAcc, mIoU)",1,1,0,0,0
IA-ViT,2023,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,qiangInterpretabilityAwareVisionTransformer2023,Custom architecture using ViT-B,"CIFAR10, STL10, Dog & Cat, CelebA","Rollout, AttGrads",Deletion/Insertion scores,0,0,1,0,0
ICE,2023,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,choiAdversarialNormalizationCan2023,"Custom architecture based on DeiT-S, DeiT-T, ViT-S AugReg, ViT-T AugReg","ImageNet-Segmentation, CUB-200-2011, PASCAL VOC 07, PASCAL VOC 12","Grad-CAM, Rollout, Partial LRP, Transformer Attribution","Segmentation metrics (Pixel-wise accuracy, mIoU)",1,1,0,0,0
ICEv2,2024,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,choiICEv2InterpretabilityComprehensiveness2025,Custom architecture based on DeiT-S,"ImageNet-Segmentation, CUB-200-2011, ECSSD, DUTS, DUT-OMRON, and Pascal VOC 07/12","Grad-CAM, Rollout, Partial LRP, Transformer Attribution, RobustViT, TS-CAM, LOST, TokenCut, Raw Attention, Shape Distillation, DINO","Pixel-wise accuracy, Mean IoU, Jaccard index (Jaccard similarity), Top-1 Cls, GT Loc, Top-1 Loc, CorLoc, IoU, Acc, max Fβ",1,0,0,0,0
INTR,2023,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,paulSimpleInterpretableTransformer2024,"Custom architecture with different backbones (DETR, DeiT-S, ViT-H)","Birds-525, CUB-200-2011, Cambridge butterfly, iNaturalist-2021-Fish, Stanford Dogs, Oxford Pet, Stanford Cars, FGVC-Aircraft","ProtoPNet, ProtoTree, ProtoPFormer",-,0,0,0,1,0
INVERT,2023,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,bykovLabelingNeuralRepresentations2023,-,-,-,-,0,0,0,0,0
InFlow,2025,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,walkerExplainingViTsUsing2025,"ViT-B, ViT-T",ImageNet,"Raw Attention, Naive Rollout, Rollout, Beyond Attention, TAM, Transformer Attribution","SIC (Segment Insertion Curve), AIC (Area under Insertion Curve), RISE Tests (Ins/Del), MAS Tests",0,0,1,0,0
Integrating Attention,2025,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,eggenIntegratingAttentionExplanation2025,ViT,"ImageNet, Broden",-,testing with concept activation vectors (TCAV).,0,0,0,0,0
LE-ProtoPNet,2025,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,jiInterpretableFewShotImage2025,Custom architecture with DINO ViT as backbone,CUB-200-2011,-,-,0,0,0,1,0
LTX,2023,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,barkanLearningExplainModelAgnostic2023,ViT-B,ImageNet,"Rollout, Raw Attention, Grad-CAM, Partial LRP, Transformer Attribution, GAE","Perturbation tests (Positive/Negative AUC), Insertion/Deletion AUC",0,0,1,0,0
LeGrad,2024,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,bousselhamLeGradExplainabilityMethod2024,ViT-B,ImageNet,"Partial LRP, Rollout, Raw Attention, Grad-CAM, Attention-CAM, GAE",Perturbation tests (Positive/Negative AUC),0,0,1,0,0
MDA,2025,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,walkerMetricDrivenAttributionsVision2024,"ViT-B, ViT-T","ImageNet, ImageNet Segmentation","Grad-CAM, Integrated Gradients, TAM, Transformer Attribution, ViT-CX, TIS, Beyond Intuition","Deletion & Insertion AUC, MAS (Magnitude Aligned Scoring), Pointing Game, Perturbation tests (Positive/Negative AUC), Monotonicity",0,0,1,0,0
MUTEX,2025,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,marchettiMultiplexNetworkbasedRepresentation2025,"ViT-B, DeiT-B","ImageNet, BloodMNIST","TIS, ViT-CX, TAM, Transformer Attribution, GAE, Beyond Intuition, RISE, Integrated Gradients, SmoothGrad, Grad-CAM, Grad-CAM++, Score-Cam","Deletion & Insertion AUC, Faithfulness Violation Test, Pointing Game",1,0,1,0,0
NAVE,2024,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,boubekkiExplainingImpactTraining2024,"ViT-S, ViT-B (supervised and self-supervised with DINO, DINOv2)","Pascal VOC 07/12, COCO20k, Chest-X-RAY, STL-10, ImageNet-1K","DINO-seg, LOST, TokenCut, SLIC, WCL",Object Localization (AP@50),1,1,0,0,0
NeuronPath,2025,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,wangDiscoveringInfluentialNeuron2025,"ViT-B, ViT-L",ImageNet-1K,"Activation-based, Influence Pattern","Joint Attribution Score (JAS), Removal Accuracy Deviation, Enhancement Accuracy Deviation, Pruning accuracy",0,0,0,0,0
P-TAME,2025,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,ntrougkasPTAMEExplainAny2025,ViT-B,ImageNet,"Grad-CAM, Grad-CAM++, RISE, Score-CAM, Ablation-CAM, T-TAME, Opti-CAM","Average Drop (AD), Increase in Confidence (IC), MoRF, LeRF, ROAD",0,0,0,0,0
PA-LRP,2025,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,bakishRevisitingLRPPositional2025,"DeiT-T, DeiT-S, DeiT-B","ImageNet, ImageNet Segmentation",AttnLRP,"Perturbation tests (Positive/Negative AUC), Segmentation metrics (pixel-accuracy, mAP, mIoU)",1,0,1,0,0
PACE,2024,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,wangProbabilisticConceptualExplainers2024,ViT-B,"Custom synthetic ""Color"" dataset, Oxford 102 Flower, Stanford Cars, CUB-200-2011","SHAP, LIME, Saliency, AGI, CRAFT","Faithfulness (Linear), Stability (Difference between concepts under augmentation), Sparsity",0,0,0,0,0
PDiscoFormer,2024,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,anirajPDiscoFormerRelaxingPart2025,Custom architecture based on DINOv2 with ViT-B backbone,"CUB-200-2011, PartImageNet, Oxford 102 Flower","DINO, PDiscoNet, Huang et al.","Normalized Mutual Information (NMI), Adjusted Rand Index (ARI), keypoint regression (Kp), mIoU",1,0,0,0,0
PM,2025,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,kangImprovingViTInterpretability2025,Custom architecture with ViT-S and ViT-B AugReg backbone,"ImageNet-1k, ImageNet-A, ImageNet-R, ImageNet-Sketch, ObjectNet, OpenImages30k, CUB-200-2011, ImageNet-Segmentation","RobustViT, Patch Gradient Map (PGM), GAE","Remove-and-classify, Top-1 Loc, GT-Known localization accuracy, MaxBoxAccV2, PxAP",1,0,1,0,0
Patch Interactions,2022,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,maVisualizingUnderstandingPatch2022,"ViT-B (as baseline for accuracy), WinfT (their own model)","ImageNet, CUB-200-2011",-,-,0,0,0,1,0
Prompt-CAM,2025,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,chowdhuryPromptCAMMakingVision2025,"prompt-based add-on to DINO, DINOv2, each with ViT-B, ViT-S","CUB-200-2011, Birds-525, Stanford Dogs, Oxford Pet, iNaturalist-2021-Moths, Fish Vista, Rare Species, Insects-2, iNaturalist-2021Fungi, Oxford Flowers, Medicinal Leaf, Stanford Cars, Food 101","Grad-CAM, Layer-CAM, Eigen-CAM, Rollout, ProtoPFormer, TesNet, ProtoConcepts, INTR",Deletion & Insertion AUC,0,0,1,0,0
Proto Non-param,2025,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,zhuInterpretableImageClassification2025,"Custom architecture with DINOv2 (ViT-B, ViT-S) and DINO (ViT-B) backbones","CUB-200-2011, Stanford Dogs, Stanford Cars","ProtoPNet, Deformable ProtoPNet, ProtoPool, TesNet, EvalProtoPNet","Consistency Score, Distinctiveness Score, Comprehensiveness Score, Stability Score",0,0,0,0,0
ProtoPFormer,2022,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,xueProtoPFormerConcentratingPrototypical2022,"Custom architecture with DeiT-Ti, DeiT-S backbones","CUB-200-2011, Stanford Dogs, Stanford Cars","ProtoPNet, ProtoTree, TesNet, Def. ProtoPNet, ViT-Net",-,0,0,0,1,0
ProtoViT,2024,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,maInterpretableImageClassification2024,"Custom architecture based on DeiT-S, DeiT-T, CaiT-XXS",CUB-200-2011,"ProtoPNet, Deformable ProtoPNet",-,0,0,0,1,0
R-Cut,2023,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,niuRCutEnhancingExplainability2024,ViT-B,"ImageNet-1K, LRN (autonomous driving hazard alerts)","Raw Attention, Rollout, Grad-CAM, Transformer Attribution","Point Game Test, IoU, Perturbation tests (Positive/Negative AUC)",1,0,1,0,0
R2R Proto,2024,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,demirExplainableTransformerPrototypes2024,Custom architecture based on Convolutional Vision Transformer (CvT),ChestX-Ray8,"Information Bottleneck Attribution (IBA), Grad-CAM",-,0,0,0,1,0
RELAX,2021,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,wickstromRELAXRepresentationLearning2023,ViT,"PASCAL VOC07, MSCOCO2014, ImageNet","Saliency, Smooth Saliency, Guided Saliency, Integrated Gradients, Grad-CAM","Localization (Pointing game, top-k intersection, relevance rank), Faithfulness (Monotonicity), Human Evaluation (user study)",1,0,0,0,1
REPEAT,2025,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,wickstromREPEATImprovingUncertainty2024,ViT-B,"MS-COCO, Pascal VOC, EuroSAT","RELAX, Saliency, Guided-Backpropagation, Integrated Gradients",efficient Model Parameter Randomisation Test (eMPRT),0,0,0,0,0
RFEM,2025,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,ayyarThereMoreAttention2025,ViT-B,"MexCulture, SALICON, ImageNet-1K","AttnLRP, Rollout, SAW, Grad×Relevance, Grad-CAM, CB-CAM","Deletion & Insertion AUC, ΔAF, AG, AD (Faithfulness); LIP, LSS (Stability); SIM, PCC, NSS, AUC-Judd (Plausibility)",0,0,1,0,0
RRM,2025,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,kimInterpretingVisionTransformers2025,"ViT-B, DINOv2 (ViT-B)",ImageNet-1K,"Random circuit, Naïve circuit, Neuron circuit, CLA (Cross-Layer Alignment)","Adjusted Dice Score, AUC of metrics for Faithfulness, Completeness, Causality",1,0,1,0,0
SALF-CBM,2025,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,benouShowTellVisually2025,Custom architecture with ViT-B backbone,"ImageNet, CUB-200-2011, Places365","LRP, Integrated Gradients, Grad-CAM, Grad-CAM++, Score-Cam, FullGrad","Segmentation metrics (Pixel Accuracy, mIoU, mAP)",1,1,0,0,0
SemanticLens,2025,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,dreyerMechanisticUnderstandingValidation2025,"ViT-S, Vit-B, ViT-L, DINOv2","ImageNet, ISIC 2019",-,"human-interpretability measures (clarity, polysemanticity, similarity, and redundancy)",0,0,0,0,1
SkipPLUS,2024,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,mehriSkipPLUSSkipFirst2024,"EVA Large, ViT-B","ImageNet, ImageNet-Segmentation, MURA","Raw Attention, Rollout, GlobEnc+Rollout, GlobEnc+SkipPLUS, ALTI+Rollout, ALTI+SkipPLUS, DecompX, DecpompX+SkipPLUS, Grad-CAM, Grad-CAM++, XGrad-CAM+, Grad-CAMElementWise, HiResCAM, AttCAm,. VanillaGrad, IxG,FullGrad+, ...","Deletion & Insertion AUC, segmentation (AP)",1,0,1,0,0
Stat. Attention,2023,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,nguyenInspectingExplainabilityTransformer2023,"Swin Transformer, ViT","ImageNet, ImageNet-Segmentation","Transformer Attribution, Raw Attention","Segmentation metrics (mIoU, mAP, Pixel Acc, mF1), Perturbation tests (Positive/Negative AUC)",1,0,1,0,0
T-TAME,2024,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,ntrougkasTTAMETrainableAttention2024,ViT-B,ImageNet,"Grad-CAM, Grad-CAM++, Score-CAM, Ablation-CAM, RISE, Transformer Attribution, IIA","Increase in Confidence (IC), Average Drop (AD), ROAD metrics (MoRF, LeRF)",0,0,1,0,0
TAM,2021,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,yuanExplainingInformationFlow2021,ViT-B,"ImageNet, ImageNet-Segmentation","Raw Attention, Rollout, Transformer Attribution","Deletion & Insertion AUC, Perturbation tests (Positive/Negative AUC), Segmentation metrics (Pixel Accuracy, mIoU, mAP), Energy-based Pointing Game",1,0,1,0,0
TIS,2023,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,englebertExplainingTransformerInput2023,"ViT-B, DeiT-B",ImageNet,"ViT-CX, TAM, Transformer Attribution, GAE, Rollout, BT-T/H, RISE, Integrated Gradients, SmoothGrad","Faithfulness (Insertion/Deletion with various baselines), Localization (Pointing Game), Robustness (Max-Sensitivity), Complexity (Sparseness)",1,0,1,0,0
TokenTM,2024,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,wuTokenTransformationMatters2024,"DeiT, ViT-B, ViT-L","CIFAR-10, CIFAR-100, ImageNet, ImageNet-Segmentation","Grad-CAM, LRP, Transformer LRP, Transformer Attribution, Raw Attention, Rollout, ATTCAT, GAE","Segmentation metrics (Pixel Accuracy, mIoU, mAP), Perturbation tests (Positive/Negative AUC), Area Over the Perturbation Curve (AOPC) and Log-odds score (LOdds)",1,0,1,0,0
Transformer Attribution,2021,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,cheferTransformerInterpretabilityAttention2021,ViT-B,"ImageNet, ImageNet-Segmentation","Raw Attention, Rollout, Grad-CAM, Partial LRP, LRP","Perturbation tests (Positive/Negative AUC), Segmentation metrics (pixel-accuracy, mAP, mIoU)",1,0,1,0,0
ULTra,2024,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,hosseiniULTraUnveilingLatent2024,CLIP image encoder ViT-B,"COCO-Stuff 27, PASCAL VOC 2012, Potsdam-3","IIC, DINO, PiCIE, ACSeg, STEGO, DepthG, U2Seg","Segmentation metrics (mIoU, pixel accuracy)",1,1,0,0,0
ViT Shapley,2022,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,covertLearningEstimateShapley2023,"ViT-B, ViT-T, ViT-S, ViT-L","ImageNette, MURA, Oxford-IIIT Pets","Attention last, Rollout, Grad-CAM, IntGrad, Vanilla Gradient, SmoothGrad, VarGrad, LRP, Leave-one-out, RISE","Insertion/Deletion AUC, Faithfulness (nearly identical to sensitivity-n, only it calculates the correlation across subsets of all sizes (Bhatt et al., 2021)), Sensitivity-n, ROAR",0,0,1,0,0
ViT-CX,2022,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,xieViTCXCausalExplanation2022,"ViT-B, DeiT-B, Swin-B",ImageNet,"Rollout, Partial LRP, Transformer Attribution, GAE, TAM, Occlusion, RISE, Score-CAM, Grad-CAM, Integrated Gradients, SmoothGrad, ViT Shapley","Deletion/Insertion AUC, Pointing Game Accuracy",1,0,1,0,0
